Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,09/02/2022,2489309,ADIDAS,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,44.45,0.00,,36,,,20616.36,,,1600.20,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,16/02/2022,2491926,ADIDAS,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,44.45,0.00,,40,,,152137.4,,,1778.00,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,41.16,0.00,,521,,,1149459.19,,,21446.89,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,55.94,0.00,,166,,,497708.08,,,9286.36,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/01/2022,2487917,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,61.85,0.00,,211,,,699415.16,,,13049.86,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/02/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,52.45,0.00,,10,,,28111.5,,,524.51,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,19/02/2022,2489547,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,42.79,0.00,,461,,,1057322.73,,,19727.78,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/02/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,57.10,0.00,,6,,,18361.86,,,342.60,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/02/2022,2487917,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,51.40,0.00,,375,,,1033134.37,,,19276.47,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/02/2022,2489547,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,38.50,0.00,,5,,,10318.45,,,192.52,
