Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,06/12/2021,2472942,REEBOK,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,44.45,0.00,,4,,,6255.24,,,177.80,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,15/12/2021,2475016,REEBOK,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,44.45,0.00,,10,,,36095.7,,,444.50,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,07/12/2021,2473623,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,0.00,0.17,0.00,,377,,,19055.61,,,65.37,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,43.40,0.00,,66,,,153517.98,,,2864.38,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/11/2021,5460077556,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,54.98,,,4,,,11786,,,219.91
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/11/2021,2455625,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,38.47,0.00,,14,,,28865.5,,,538.58,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,47.79,0.00,,27,,,69156.78,,,1290.34,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/11/2021,2467593,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,32.09,0.00,,214,,,368090.61,,,6867.92,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,02/12/2021,5460077781,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,38.70,,,5,,,10370,,,193.49
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/11/2021,2455625,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,50.72,0.00,,60,,,163116.6,,,3043.47,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,41.59,0.00,,180,,,401243.09,,,7486.49,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/11/2021,2470975,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,41.07,0.00,,152,,,334614.87,,,6243.32,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,42.10,0.00,,24,,,54146.82,,,1010.28,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/11/2021,2455625,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,37.14,0.00,,102,,,203024.88,,,3788.09,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,26.27,0.00,,67,,,94318.97,,,1759.83,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,29.15,0.00,,143,,,223420.94,,,4168.64,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,27/11/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,39.66,0.00,,264,,,561101.05,,,10469.16,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/12/2021,2455625,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,102.65,0.00,,1,,,5501.81,,,102.65,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/12/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,69.76,0.00,,17,,,63563.17,,,1185.98,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,10/12/2021,2467593,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,96.72,0.00,,57,,,295464.23,,,5512.84,
