Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,11/01/2022,2482853,REEBOK,BT - OTROS,TERCERAS,CD ALDEA6,BT,44.45,0.00,0.00,21,,,60638.13,,,933.45,,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,19/01/2022,2484139,ADIDAS,BT - OTROS,TERCERAS,CD ALDEA6,BT,44.45,0.00,0.00,8,,,24664.68,,,355.60,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,54.80,0.00,0.00,422,,,1239458.03,,,23126.11,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,15/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,42.05,0.00,0.00,320,,,721138.27,,,13455.17,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,17/01/2022,2482495,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,36.45,0.00,0.00,558,,,1090160.65,,,20340.48,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/01/2022,5460078006,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,39.74,,,2,,,4260,,,79.48
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,19/01/2022,2484447,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,0.00,2.44,0.00,,112,,,54841.64,,,272.87,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRODOMESTICOS,19/01/2022,2484446,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,2.46,0.00,0.00,38,,,18804.81,,,93.56,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/01/2022,2483886,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,14.69,0.00,,175,,,459934.23,,,2571.49,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,17/01/2022,2483885,LG,SB,TERCERAS,CD Villa El Salvador,SB,0.00,7.15,0.00,,353,,,451371.09,,,2523.61,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,17/01/2022,2483883,LG,SB,TERCERAS,CD Villa El Salvador,SB,8.73,0.00,0.00,127,,,198203.41,,,1108.15,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,04/01/2022,5460078006,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,0.00,13.66,,,4,,,9771,,,54.63
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,06/01/2022,2475962,LG,SB,TERCERAS,CD Villa El Salvador,SB,6.78,0.00,0.00,95,,,115185.75,,,644.00,,
