Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,21/12/2021,2471687,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,42.03,,,207,,,466282.71,,,8700.01,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2021,2460521,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,42.70,,,1,,,2288.75,,,42.70,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2021,2455625,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,20.30,,,15,,,16321.05,,,304.52,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,23/12/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,29.37,,,24,,,37777.4,,,704.86,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/12/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,23.84,,,43,,,54938.1,,,1025.05,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/12/2021,2471687,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,51.75,,,10,,,27734.9,,,517.48,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,24/12/2021,2475969,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,21.83,,,28,,,32762.8,,,611.30,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/12/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,49.58,,,82,,,217875.79,,,4065.18,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/12/2021,2467593,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,71.05,,,3,,,11423.28,,,213.14,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/12/2021,2471687,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,56.00,,,50,,,150055.74,,,2799.78,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/12/2021,2475969,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,42.70,,,12,,,27465,,,512.45,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2021,2465292,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,78.84,,,5,,,21127.25,,,394.20,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2021,2471687,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,77.12,,,30,,,124000.85,,,2313.64,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/12/2021,2475969,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,53.19,,,68,,,193851.15,,,3616.92,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,28/12/2021,2474805,LG,BT - OTROS,TERCERAS,CD ALDEA6,BT,0.00,12.21,,,240,,,523955.78,,,2929.43,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,22/12/2021,2475962,LG,SBN,TERCERAS,CD Villa El Salvador,SBN,0.00,5.63,,,69,,,69534.75,,,388.77,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,AUDIO,23/12/2021,2475962,LG,BT - OTROS,TERCERAS,CD Villa El Salvador,BT,0.00,4.80,,,65,,,55779.55,,,311.86,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,ELECTRONICA MENOR,23/12/2021,2476815,LG,J&C,TERCERAS,CD Villa El Salvador,J&C,2.06,0.00,,10,,,4146.6,,,20.63,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475655,REEBOK,PQ,TERCERAS,CD Villa El Salvador,SB,0.00,0.17,,,55,,,1226.9,,,9.54,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475655,REEBOK,PQ,TERCERAS,CD Villa El Salvador,FLT,0.00,0.17,,,30,,,1091.35,,,5.20,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475654,REEBOK,FLT,TERCERAS,CD Villa El Salvador,FLT,0.22,0.00,,804,,,28197.52,,,179.81,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475656,REEBOK,PQ,TERCERAS,CD Villa El Salvador,SB,0.17,0.00,,985,,,23674.7,,,170.80,,
ADIDAS PERU S.A.C,2034710031,DEPORTES,TEXTIL TERCEROS DEPORTES,21/12/2021,2475656,REEBOK,PQ,TERCERAS,CD Villa El Salvador,FLT,0.17,0.00,,480,,,13602.65,,,83.23,,
