Proveedor,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,14/10/2021,2457525,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,886,,,130639.38,,,297.22,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,14/10/2021,2457550,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,1152,,,119617.08,,,1700.38,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,14/10/2021,2457558,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,2076,,,216420.36,,,696.41,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,16/10/2021,2457272,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,468,,,40342.56,,,156.99,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,13/10/2021,2457284,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,168,,,17868.48,,,247.97,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,23/09/2021,2451659,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,132,,,15488.76,,,194.83,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,23/09/2021,2451686,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,864,,,99228.6,,,289.84,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,14/10/2021,2457547,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,1344,,,144543.72,,,1983.77,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,14/10/2021,2457506,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,2265,,,246896.4,,,759.82,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,04/10/2021,5460076194,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,0.00,1.38,,,6,,,612,,,8.25
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,16/10/2021,2457289,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,1151,,,126531.48,,,386.11,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,16/10/2021,2457562,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,648,,,86859.24,,,217.38,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,16/10/2021,2457535,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,120,,,14080.8,,,177.12,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,16/10/2021,2457536,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,635,,,74510.9,,,213.02,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,13/10/2021,2457293,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,336,,,40962.72,,,495.94,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,23/09/2021,2451679,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,108,,,12611.04,,,159.41,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,23/09/2021,2451681,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,456,,,54859.2,,,152.97,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,23/09/2021,2451671,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,144,,,15605.52,,,212.55,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,23/09/2021,2451657,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,840,,,119901.84,,,281.79,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,23/09/2021,2451669,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,708,,,77541.36,,,237.51,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/09/2021,2449815,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,2147,,,171977.66,,,720.23,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,21/09/2021,2449810,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,216,,,17597.28,,,318.82,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,16/10/2021,2457258,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,1560,,,106494.24,,,523.32,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,13/10/2021,2457296,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.00,1.48,0.00,,348,,,23801.04,,,513.66,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,13/10/2021,2457297,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.34,0.00,0.00,264,,,24583.08,,,88.56,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,21/09/2021,2451275,REEBOK,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,1239,,,70844.15,,,277.09,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,21/09/2021,2451274,REEBOK,FLT,TERCERAS,CD Villa El Salvador,0.00,0.93,0.00,,336,,,22403.67,,,311.84,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,21/09/2021,2451277,REEBOK,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,2014,,,103442.89,,,450.41,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,21/09/2021,2450038,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0.00,0.93,0.00,,669,,,46609.85,,,620.90,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,22/09/2021,2451775,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,128,,,13052.16,,,28.63,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,22/09/2021,2451774,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0.00,0.93,0.00,,16,,,1631.52,,,14.85,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,14/10/2021,2457134,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,2410,,,137227.79,,,538.97,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453076,REEBOK,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,293,,,14694.98,,,65.53,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453082,REEBOK,PQ,TERCERAS,CD Villa El Salvador,0.17,0.00,0.00,4235,,,83422.6,,,734.35,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453085,REEBOK,PQ,TERCERAS,CD Villa El Salvador,0.17,0.00,0.00,4235,,,82714.85,,,734.35,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453078,REEBOK,PQ,TERCERAS,CD Villa El Salvador,0.00,0.17,0.00,,530,,,11961.35,,,91.90,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453075,REEBOK,FLT,TERCERAS,CD Villa El Salvador,0.00,0.93,0.00,,80,,,3581.95,,,74.25,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453081,REEBOK,PQ,TERCERAS,CD Villa El Salvador,0.17,0.00,0.00,2845,,,57351.55,,,493.32,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,28/09/2021,2453152,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0.22,0.00,0.00,160,,,16315.2,,,35.78,,
