Proveedor,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Unidades CROSS,Unidades PICK,Unidades DEV,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44431,2444005,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,2028,,,226037.88,,,680.3113225,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44433,2443215,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,792,,,76700.4,,,265.6837117,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44433,2443213,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,132,,,13828.8,,,194.8347219,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44447,2447794,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,60,,,8946.6,,,88.56123725,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44447,2447798,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,228,,,33947.88,,,76.4847049,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44455,2448480,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,1800,,,182744.04,,,603.8266176,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44455,2449165,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,4164,,,435041.28,,,1396.852242,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44450,2448485,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,168,,,19098.36,,,247.9714643,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44453,2449184,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,1248,,,172265.4,,,418.6531215,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO HOMBRE URBANO,44453,2449183,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,492,,,54410.4,,,726.2021454,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44431,2444004,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,1188,,,121691.28,,,398.5255676,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44433,2444531,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,744,,,77093.64,,,249.5816686,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44433,2444536,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,156,,,19227.48,,,230.2592168,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44433,2444530,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,96,,,16183.68,,,141.6979796,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44433,2444520,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,132,,,22252.56,,,44.28061862,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44447,2447809,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,60,,,7901.28,,,88.56123725,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44447,2447810,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,192,,,25111.92,,,64.40817254,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44455,2449178,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,984,,,132494.76,,,330.0918843,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44450,2448486,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,516,,,46650.36,,,173.0969637,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44450,2448479,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,84,,,8872.68,,,123.9857321,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44453,2449173,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,204,,,23322.48,,,301.1082066,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO MUJER URBANO,44453,2449157,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,2676,,,290144.88,,,897.6889048,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44431,2444001,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,1152,,,71531.52,,,386.4490353,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44431,2444000,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,144,,,9026.04,,,212.5469694,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44433,2443159,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,396,,,36812.16,,,132.8418559,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44433,2444051,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,132,,,8048.04,,,44.28061862,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44455,2449154,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,84,,,8134.92,,,28.17857549,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44455,2448494,REEBOK,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,180,,,12450.48,,,60.38266176,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44455,2449171,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0.335459232,0,0,777,,,58612.74,,,260.6518233,,
ADIDAS PERU S.A.C,CALZADO,TERCERA CALZADO JUVENIL URBANO,44455,2449170,ADIDAS,SHO,TERCERAS,CD Villa El Salvador,0,1.476020621,0,,96,,,7574.88,,,141.6979796,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,44434,2444225,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,0.1734,0,0,3930,,,98276.8,,,681.462,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,44434,2444221,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,0.1734,0,0,3775,,,84094.9,,,654.585,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,44434,2444224,ADIDAS,PQ,TERCERAS,CD Villa El Salvador,0.1734,0,0,4218,,,104830.77,,,731.4012,,
ADIDAS PERU S.A.C,DEPORTES,TEXTIL TERCEROS DEPORTES,44433,2444218,ADIDAS,FLT,TERCERAS,CD Villa El Salvador,0,0.928103875,0,,98,,,7256.56,,,90.95417977,
